name,link,actual_price,old_price,id,brand
"Сыр Радость вкуса для жарки полутвердый 45%, 180г",/products/180g-syr-dzharki-45-radost-vkusa-bzmzh,194,,180g-syr-dzharki-45-radost-vkusa-bzmzh,РАДОСТЬ ВКУСА
"Сыр Viola Чеддер полутвердый нарезка 50%, 120г",/products/120g-syr-50-viola-chedder-narezka-bzmzh,244,,120g-syr-50-viola-chedder-narezka-bzmzh,VIOLA
"Сыр Кабош Kilt полутвердый 45%, ~1кг",/products/1kg-syr-kilt-45-kabosh-bzmzh,1179,,1kg-syr-kilt-45-kabosh-bzmzh,КАБОШ
"METRO Chef Сыр тильзитер нарезка 45%, 150г",/products/150g-syr-tilziter-45-metro-chef-narezka-bzmzh,185,,150g-syr-tilziter-45-metro-chef-narezka-bzmzh,METRO CHEF
"Сыр Schonfeld Швейцарский Маасдам полутвердый нарезка 48%, 125г",/products/fasovannyj-schonfeld-swiss-maasdam-narezka-48-125g-bzmzh,349,,fasovannyj-schonfeld-swiss-maasdam-narezka-48-125g-bzmzh,SCHONFELD
"Сыр Schonfeld Эдам полутвердый нарезка 45%, 125г",/products/125g-syr-edam-45-schonfeld-narezka-bzmzh,186,,125g-syr-edam-45-schonfeld-narezka-bzmzh,SCHONFELD
"Сыр Радость вкуса легкий полутвердый нарезка 35%, 125г",/products/125g-syr-legkiy-35-radost-vkusa-narezka-bzmzh,139,179,125g-syr-legkiy-35-radost-vkusa-narezka-bzmzh,РАДОСТЬ ВКУСА
"Сыр Белебеевский Российский полутвердый 50%, 190г",/products/bmk-rossijskij-50-190g,227,,bmk-rossijskij-50-190g,БЕЛЕБЕЕВСКИЙ
"Сыр Тысяча озёр Сливочный полутвердый 50%, 200г",/products/200g-syr-slivochnyy-50-tysyacha-ozyor-kusok-bzmzh,199,219,200g-syr-slivochnyy-50-tysyacha-ozyor-kusok-bzmzh,ТЫСЯЧА ОЗЁР
"Сыр Cheese Gallery Гауда полутвердый нарезка 45%, 125г",/products/cheese-gallery-gauda-slajs-125g,139,189,cheese-gallery-gauda-slajs-125g,CHEESE GALLERY
"aro Сыр тильзитер 45%, 200г",/products/200g-syr-tilziter-nt-45-aro-bzmzh,164,,200g-syr-tilziter-nt-45-aro-bzmzh,ARO
"Сыр Hochland Grunlander Чеддер полутвердый нарезка 50%, 130г",/products/130g-syr-chedder-50-grunlander-hochland-narezka-bzmzh,159,173,130g-syr-chedder-50-grunlander-hochland-narezka-bzmzh,HOCHLAND
